destination,dest_lat,dest_lon,visits_2025,category
New Zealand,-41.3,174.8,1451700,Oceania and Antarctica
New Caledonia ,-22.3,166.5,10870,Oceania and Antarctica
Papua New Guinea,-9.4,147.2,70620,Oceania and Antarctica
Vanuatu,-17.7,168.3,66280,Oceania and Antarctica
Fiji,-18.1,178.4,412730,Oceania and Antarctica
Samoa,-13.8,-171.8,44680,Oceania and Antarctica
"UK, CIs & IOM",51.5,-0.1,637510,North-West Europe
Ireland,53.4,-6.3,84090,North-West Europe
Austria,48.2,16.4,21890,North-West Europe
France,48.9,2.4,167840,North-West Europe
Germany,52.5,13.4,102620,North-West Europe
Netherlands,52.4,4.9,29230,North-West Europe
Switzerland,46.9,7.4,35700,North-West Europe
Sweden,59.3,18.1,19370,North-West Europe
Italy,41.9,12.5,317550,Southern and Eastern Europe
Portugal,38.7,-9.2,32660,Southern and Eastern Europe
Spain,40.4,-3.7,115180,Southern and Eastern Europe
Croatia,45.8,15.9,37070,Southern and Eastern Europe
Greece,37.9,23.7,153880,Southern and Eastern Europe
Poland,52.2,21,19760,Southern and Eastern Europe
Russian Federation,55.8,37.6,7740,Southern and Eastern Europe
Iran,35.7,51.4,18950,North Africa and Middle East
Israel,31.8,35.2,14090,North Africa and Middle East
Lebanon,33.9,35.5,46300,North Africa and Middle East
Turkiye,39.9,32.9,60120,North Africa and Middle East
United Arab Emirates,24.5,54.4,83120,North Africa and Middle East
Cambodia,11.6,104.9,36840,South-East Asia
Thailand,13.8,100.5,639080,South-East Asia
Vietnam,21,105.9,519780,South-East Asia
Indonesia,-8.4,115.2,1750370,South-East Asia
Malaysia,3.1,101.7,302380,South-East Asia
Philippines,14.6,120.9,291780,South-East Asia
Singapore,1.4,103.8,392610,South-East Asia
China,39.9,116.4,692510,North-East Asia
Hong Kong,22.3,114.2,178600,North-East Asia
Taiwan,25,121.5,85100,North-East Asia
Japan,35.7,139.7,951950,North-East Asia
"Korea, South",37.6,126.9,137140,North-East Asia
Bangladesh,23.8,90.4,31270,Southern and Central Asia
India,28.6,77.2,599180,Southern and Central Asia
Nepal,27.7,85.3,53420,Southern and Central Asia
Pakistan,33.7,73.1,55660,Southern and Central Asia
Sri Lanka,6.9,79.9,135430,Southern and Central Asia
Canada,45.4,-75.7,167890,Americas
United States of America,38.9,-77,712690,Americas
Brazil,-15.8,-47.9,26810,Americas
Chile,-33.4,-70.7,17070,Americas
Peru,-12,-77,19020,Americas
Mexico,19.4,-99.1,19850,Americas
South Africa,-25.7,28.2,83110,Sub-Saharan Africa
