category,quarter,amount
Transport,March,11995
Transport,June,12013
Transport,September,12950
Transport,December,13667
Accommodation,March,8074
Accommodation,June,6798
Accommodation,September,6789
Accommodation,December,7492
Food & Drink,March,11214
Food & Drink,June,10397
Food & Drink,September,10739
Food & Drink,December,11412
Shopping,March,4377
Shopping,June,4124
Shopping,September,4187
Shopping,December,3929
Activities & Other,March,3219
Activities & Other,June,3043
Activities & Other,September,3241
Activities & Other,December,3464
