destination,lat,lon,state,visits
Sydney,-33.87,151.21,NSW,11015387
Melbourne,-37.81,144.96,VIC,10300913
Brisbane,-27.47,153.03,QLD,7548941
North Coast NSW,-30.3,153.12,NSW,5898379
South Coast,-35.71,150.18,NSW,4756921
Perth,-31.95,115.86,WA,4537255
Gold Coast,-28.02,153.4,QLD,4157552
Sunshine Coast,-26.65,153.07,QLD,4261199
Hunter,-32.93,151.78,NSW,4821673
Cairns,-16.92,145.77,QLD,2202076
Adelaide,-34.93,138.6,SA,3447036
Margaret River,-33.95,115.07,WA,3167677
Broome,-17.96,122.24,WA,1482359
Queensland Country,-27.56,151.95,QLD,3007446
Canberra,-35.28,149.13,ACT,3123453
Australia's Golden Outback,-30.75,121.47,WA,1406253
High Country,-36.73,146.96,VIC,2471504
Central NSW,-33.42,149.58,NSW,2701851
Great Ocean Road,-38.66,143.61,VIC,2334086
Hobart,-42.88,147.33,TAS,1613908
Darwin,-12.46,130.84,NT,627219
