state,state_full,year,visitors,nights
NSW,New South Wales,2019,4384000,96576000
NSW,New South Wales,2020,839000,24428000
NSW,New South Wales,2021,112357,6927767
NSW,New South Wales,2022,1578223,44228000
NSW,New South Wales,2023,3423000,87002000
NSW,New South Wales,2024,3805671,100774264
NSW,New South Wales,2025,4110416,105933872
VIC,Victoria,2019,3138000,73064000
VIC,Victoria,2020,615000,19599000
VIC,Victoria,2021,61570,4389018
VIC,Victoria,2022,1047516,32768000
VIC,Victoria,2023,2082000,50887000
VIC,Victoria,2024,2708125,80265526
VIC,Victoria,2025,2826814,78822256
QLD,Queensland,2019,2783000,54926000
QLD,Queensland,2020,493000,12361000
QLD,Queensland,2021,60341,2581092
QLD,Queensland,2022,916164,23843000
QLD,Queensland,2023,1973000,50105000
QLD,Queensland,2024,2157633,53254147
QLD,Queensland,2025,2368463,55611057
WA,Western Australia,2019,996000,25189000
WA,Western Australia,2020,220000,6443000
WA,Western Australia,2021,14687,1086546
WA,Western Australia,2022,398232,13605000
WA,Western Australia,2023,785000,28111000
WA,Western Australia,2024,864984,31303893
WA,Western Australia,2025,1068142,41981767
SA,South Australia,2019,488000,10938000
SA,South Australia,2020,106000,2903000
SA,South Australia,2021,10162,601733
SA,South Australia,2022,180553,5526000
SA,South Australia,2023,439000,14062000
SA,South Australia,2024,439944,13591913
SA,South Australia,2025,445409,14720621
TAS,Tasmania,2019,283000,4247000
TAS,Tasmania,2020,81000,1362000
TAS,Tasmania,2021,5698,507429
TAS,Tasmania,2022,84168,1354000
TAS,Tasmania,2023,207000,3396000
TAS,Tasmania,2024,253995,4959421
TAS,Tasmania,2025,278633,5045586
NT,Northern Territory,2019,299000,3163000
NT,Northern Territory,2020,50000,749000
NT,Northern Territory,2021,5210,414779
NT,Northern Territory,2022,89949,2534000
NT,Northern Territory,2023,191000,3837000
NT,Northern Territory,2024,221194,4607551
NT,Northern Territory,2025,254651,4420040
ACT,Australian Capital Territory,2019,270000,5860000
ACT,Australian Capital Territory,2020,39000,964000
ACT,Australian Capital Territory,2021,4554,266588
ACT,Australian Capital Territory,2022,87982,2037000
ACT,Australian Capital Territory,2023,179000,4324000
ACT,Australian Capital Territory,2024,214663,5431069
ACT,Australian Capital Territory,2025,198544,5613726
