country,aud_change_pct,travel_change_pct,category
Japan,27.24637681,82.31001992,North-East Asia
Indonesia,8.559740032,24.96216232,South-East Asia
United States of America,-5.797101449,-32.48484274,Americas
"UK, CIs & IOM",-10.90909091,-3.906968331,North-West Europe
New Zealand,4.716981132,-0.760853961,Oceania and Antarctica
Thailand,-1.716937355,17.71163339,South-East Asia
China,-3.541666667,13.95027397,North-East Asia
Singapore,-11.57894737,-5.783398527,South-East Asia
India,15.10204082,40.61297287,Southern and Central Asia
"Korea, South",13.31176449,62.7581296,North-East Asia
Vietnam,3.943898501,63.92191491,South-East Asia
Malaysia,-4.844290657,10.57963065,South-East Asia
Taiwan,-6.284916201,18.03051318,North-East Asia
Hong Kong,-7.52293578,-17.9793341,North-East Asia
Canada,-2.173913043,-8.151430603,Americas
Switzerland,-23.1884058,13.44137274,North-West Europe
Italy,-8.064516129,21.58281645,Southern and Eastern Europe
